"MALES","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER"
"POSSESSION OF DRUGS","1,160","875","36","3"
"SALE OF DRUGS","1,008","163","3","1"
"TOTAL","2,168","1,038","39","4"
