"RACE","","",""
"","MALE","FEMALE","TOTAL"
"White","204","27","231"
"Black","274","29","303"
"Hispanic","2","0","2"
"Other","3","0","3"
"Unknown Race","2","0","2"
"Unknown Gender","0","0","0"
"TOTAL 
485 
56 
541","","",""
