"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","2","33.33%"
"0","0","0","0","3","50.00%"
"0","0","0","0","1","16.67%"
"0","0","0","0","6","100.00%"
