"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","1","0","0","27","26.21%"
"0","0","0","0","4","3.88%"
"0","1","0","0","26","25.24%"
"0","0","0","0","0",".00%"
"0","0","0","0","28","27.18%"
"0","0","0","0","2","1.94%"
"0","0","0","0","6","5.83%"
"1","1","0","0","10","9.71%"
"1","3","0","0","103","100.00%"
