"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","0","0","0","1",".75%"
"4","2","0","0","60","45.11%"
"0","0","0","0","2","1.50%"
"0","0","0","0","8","6.02%"
"0","0","0","0","1",".75%"
"0","0","0","0","4","3.01%"
"0","0","0","0","20","15.04%"
"0","1","0","0","9","6.77%"
"0","0","0","0","1",".75%"
"0","0","0","0","2","1.50%"
"0","0","0","0","1",".75%"
"1","2","0","0","14","10.53%"
"0","2","0","0","9","6.77%"
"0","0","0","0","1",".75%"
"6","7","0","0","133","100.00%"
