"MALES","","","",""
"SALE OF DRUGS","BLACK","WHITE","HISPANIC","OTHER"
"Amphetamine Manufacture","0","1","0","0"
"Cocaine Sale","684","24","2","0"
"Delivery of Controlled Substance","142","24","1","0"
"Marijuana Sell","138","33","0","0"
"Methamphetamine - Sell","1","29","0","0"
"Producing Controlled Substance","0","24","0","1"
"Sale of Controlled Substance","43","28","0","0"
"TOTAL","1,008","163","3","1"
