"COUNTY","OFFENDERS","PERCENT"
"Pearl River","5","1.36%"
"Perry","4","1.08%"
"Pike","9","2.44%"
"Pontotoc","5","1.36%"
"Prentiss","3",".81%"
"Quitman","1",".27%"
"Rankin","22","5.96%"
"Scott","3",".81%"
"Sharkey","0",".00%"
"Simpson","1",".27%"
"Smith","0",".00%"
"Stone","4","1.08%"
"Sunflower","1",".27%"
"Tallahatchie","0",".00%"
"Tate","5","1.36%"
"Tippah","5","1.36%"
"Tishomingo","2",".54%"
"Tunica","0",".00%"
"Union","7","1.90%"
"Walthall","0",".00%"
"Warren","9","2.44%"
"Washington","5","1.36%"
"Wayne","3",".81%"
"Webster","0",".00%"
"Wilkinson","1",".27%"
"Winston","0",".00%"
"Yalobusha","0",".00%"
