"RACE","","",""
"","MALE","FEMALE","TOTAL"
"White","2,987","668","3,655"
"Black","5,283","479","5,762"
"Hispanic","76","7","83"
"Other","27","1","28"
"Unknown Race","9","0","9"
"Unknown Gender","1","0","1"
"TOTAL 
8,383 
1,155 
9,538","","",""
