"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","2","7.41%"
"0","1","0","0","16","59.26%"
"0","0","0","0","9","33.33%"
"0","1","0","0","27","100.00%"
