"MALES","","","",""
"HOMICIDE/MANSLAUGHTER","BLACK","WHITE","HISPANIC","OTHER"
"Capital Murder","13","5","0","0"
"Homicide","40","12","1","0"
"Manslaughter","90","29","1","0"
"Vehicular Homicide","1","1","0","0"
"TOTAL","144","47","2","0"
