"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,153","26.38%"
"Probation - Compact","1,054","2.74%"
"Probation - Nonadjudicated","4,319","11.22%"
"Probation - Post Release","12,811","33.29%"
"PROBATION TOTAL","28,337","73.63%"
"Parole","6,610","17.18%"
"Parole - Compact","302","0.78%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,912","17.96%"
"Intensive Supervision Program - Court","1,200","3.12%"
"Intensive Supervision Program - Prison","428","1.11%"
"Earned Release Supervision","1,582","4.11%"
"Medical Release","25",".06%"
"COMMUNITY INMATE TOTAL","3,235","8.41%"
"TOTAL","38,484","100.00%"
