"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,541","37.74%"
"Probation - Compact","1,279","4.58%"
"Probation - Nonadjudicated","2,808","10.05%"
"Probation - Post Release","7,757","27.77%"
"PROBATION TOTAL","22,385","80.14%"
"Parole","2,100","7.52%"
"Parole - Compact","480","1.72%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,580","9.24%"
"Intensive Supervision Program - Court","923","3.30%"
"Intensive Supervision Program - Prison","233","0.83%"
"Earned Release Supervision","1,792","6.42%"
"Medical Release","21","0.08%"
"COMMUNITY INMATE TOTAL","2,969","10.63%"
"TOTAL","27,934","100.00%"
