"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","MONTHLY FACT SHEET","","",""
"","","As of July 1, 2002","","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","10,106","51.65%","","",""
"Compact Probation","1,037","5.30%","","",""
"Nonadjudicated","1,869","9.55%","","",""
"Post Release","2,212","11.30%","","",""
"","15,224","77.80%","Probation Total","",""
"Parole","1,449","7.41%","","",""
"Compact Parole","404","2.06%","","",""
"Suspension","8","0.04%","","",""
"","1,861","9.51%","Parole Total","",""
"Intensive Supervision Program - Court","1,168","5.97%","","",""
"Intensive Supervision Program - Prison","264","1.35%","","",""
"Earned Release Supervision","1,050","5.37%","","",""
"Medical Release","0","0.00%","","",""
"","2,482","12.68%","Community Inmate Total","",""
"TOTAL","19,567","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
7,106","60.11%","1,885","55.41%","8,991","59.06%"
"White
4,585","38.78%","1,477","43.42%","6,062","39.82%"
"Hispanic
51","0.43%","14","0.41%","65","0.43%"
"Native American
28","0.24%","7","0.21%","35","0.23%"
"Asian
33","0.28%","19","0.56%","52","0.34%"
"Data Unavailable
19","0.16%","0","0.00%","19","0.12%"
"TOTAL
11,822","100.00%","3,402","100.00%","15,224","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
1,921","12.62%","","","",""
"Property
8,701","57.15%","","","",""
"Drug
4,602","30.23%","","","",""
"TOTAL
15,224","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,194","72.72%","124","56.62%","1,318","70.82%"
"White
435","26.49%","94","42.92%","529","28.43%"
"Hispanic
12","0.73%","","0.46%","13","0.70%"
"Native American
1","0.06%","1 0 0","0.00%","","0.05%"
"Asian
0","0.00%","","0.00%","01","0.00%"
"TOTAL
1,642","100.00%","219","100.00%","1,861","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
643","34.55%","","","",""
"Property
557","29.93%","","","",""
"Drug
661","35.52%","","","",""
"TOTAL
1,861","100.00%","","","",""
