"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,957","30.26%"
"Probation - Compact","1,069","3.25%"
"Probation - Nonadjudicated","3,753","11.41%"
"Probation - Post Release","9,583","29.12%"
"PROBATION TOTAL","24,362","74.04%"
"Parole","5,350","16.26%"
"Parole - Compact","370","1.12%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","5,720","17.38%"
"Intensive Supervision Program - Court","1,035","3.15%"
"Intensive Supervision Program - Prison","405","1.23%"
"Earned Release Supervision","1,348","4.10%"
"Medical Release","36","0.11%"
"COMMUNITY INMATE TOTAL","2,824","8.58%"
"TOTAL","32,906","100.00%"
