"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","","MONTHLY FACT SHEET","",""
"","","","As of  July 6, 2004","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","16,234","65.48%","","",""
"Compact Probation","1,024","4.13%","","",""
"Nonadjudicated","706","2.85%","","",""
"Post Release","1,686","6.80%","","",""
"","19,650","79.26%","Probation Total","",""
"Parole","1,564","6.31%","","",""
"Compact Parole","394","1.59%","","",""
"Suspension","0","0.00%","","",""
"","1,958","7.90%","Parole Total","",""
"Intensive Supervision Program","1,306","5.27%","","",""
"Earned Release Supervision","1,274","5.14%","","",""
"Medical Release","0","0.00%","","",""
"","3,185","12.85%","Community Inmate Total","",""
"TOTAL","24,793","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
8,806","58.80%","2,385","51.04%","11,191","56.95%"
"White
5,929","39.59%","2,224","47.59%","8,153","41.49%"
"Hispanic
86","0.57%","15","0.32%","101","0.51%"
"Native American
18","0.12%","5","0.11%","23","0.12%"
"Asian
33","0.22%","16","0.34%","49","0.25%"
"Data Unavailable
105","0.70%","28","0.60%","133","0.68%"
"TOTAL
14,977","100.00%","4,673","100.00%","19,650","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
2,483","12.64%","","","",""
"Property
10,553","53.70%","","","",""
"Drug
6,614","33.66%","","","",""
"TOTAL
19,650","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,103","64.96%","128","49.23%","1,231","62.87%"
"White
576","33.92%","127","48.85%","703","35.90%"
"Hispanic
13","0.77%","","1.54%","17","0.87%"
"Native American
3","0.18%","4 0 1","0.00%","23","0.15%"
"Asian
1","0.06%","","0.38%","","0.10%"
"Data Unavailable
2","0.12%","0","0.00%","2","0.10%"
"TOTAL
1,698","100.00%","260","100.00%","1,958","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
529","27.02%","","","",""
"Property
695","35.50%","","","",""
"Drug
734","37.49%","","","",""
"TOTAL
1,958","100.00%","","","",""
