"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","8,870","22.10%"
"Probation - Compact","1,364","3.40%"
"Probation - Nonadjudicated","4,156","10.36%"
"Probation - Post Release","15,780","39.32%"
"PROBATION TOTAL","30,170","75.18%"
"Parole","6,293","15.68%"
"Parole - Compact","430","1.07%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,723","16.75%"
"Intensive Supervision Program - Court","1,092","2.72%"
"Intensive Supervision Program - Prison","489","1.22%"
"Earned Release Supervision","1,631","4.06%"
"Medical Release","23",".06%"
"COMMUNITY INMATE TOTAL","3,235","8.06%"
"TOTAL","40,128","100.00%"
