"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","11,381","40.50%"
"Probation - Compact","1,226","4.36%"
"Probation - Nonadjudicated","2,601","9.25%"
"Probation - Post Release","7,599","27.04%"
"PROBATION TOTAL","22,807","81.15%"
"Parole","1,969","7.01%"
"Parole - Compact","483","1.72%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,452","8.72%"
"Intensive Supervision Program - Court","910","3.24%"
"Intensive Supervision Program - Prison","228","0.81%"
"Earned Release Supervision","1,694","6.03%"
"Medical Release","13","0.05%"
"COMMUNITY INMATE TOTAL","2,845","10.12%"
"TOTAL","28,104","100.00%"
