"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,703","29.13%"
"Probation - Compact","1,027","2.80%"
"Probation - Nonadjudicated","4,376","11.91%"
"Probation - Post Release","10,907","29.69%"
"PROBATION TOTAL","27,013","73.53%"
"Parole","6,256","17.03%"
"Parole - Compact","326","0.89%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,582","17.92%"
"Intensive Supervision Program - Court","1,194","3.25%"
"Intensive Supervision Program - Prison","458","1.25%"
"Earned Release Supervision","1,447","3.94%"
"Medical Release","43",".12%"
"COMMUNITY INMATE TOTAL","3,142","8.55%"
"TOTAL","36,737","100.00%"
