"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","7,487","18.91%"
"Probation - Compact","1,252","3.16%"
"Probation - Nonadjudicated","4,049","10.23%"
"Probation - Post Release","17,404","43.95%"
"TVC Probation","153","0.39%"
"PROBATION TOTAL","30,345","76.63%"
"Parole","6,942","17.53%"
"Parole - Compact","557","1.41%"
"Parole - Suspension","0","0.00%"
"TVC Parole","131","0.33%"
"PAROLE TOTAL","7,630","19.27%"
"Intensive Supervision Program - Court","711","1.80%"
"Intensive Supervision Program - Prison","70","0.18%"
"Earned Release Supervision","829","2.09%"
"Medical Release","12","0.03%"
"Conditional Release","2","0.005%"
"COMMUNITY INMATE TOTAL","1,624","6.69%"
"TOTAL","39,599","100.00%"
