"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","15,398","50.72%"
"Probation - Compact","1,053","3.47%"
"Probation - Nonadjudicated","2,217","7.30%"
"Probation - Post Release","5,971","19.67%"
"PROBATION TOTAL","24,639","81.17%"
"Parole","1,989","6.55%"
"Parole - Compact","463","1.53%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,452","8.08%"
"Intensive Supervision Program - Court","1,298","4.28%"
"Intensive Supervision Program - Prison","267","0.88%"
"Earned Release Supervision","1,691","5.57%"
"Medical Release","9","0.03%"
"COMMUNITY INMATE TOTAL","3,265","10.76%"
"TOTAL","30,356","100.00%"
