"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,680","25.14%"
"Probation - Compact","1,130","2.93%"
"Probation - Nonadjudicated","4,097","10.64%"
"Probation - Post Release","13,465","34.97%"
"PROBATION TOTAL","28,372","73.69%"
"Parole","6,623","17.20%"
"Parole - Compact","285","0.74%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,908","17.94%"
"Intensive Supervision Program - Court","1,134","2.95%"
"Intensive Supervision Program - Prison","447","1.16%"
"Earned Release Supervision","1,617","4.20%"
"Medical Release","25",".06%"
"COMMUNITY INMATE TOTAL","3,223","8.37%"
"TOTAL","38,503","100.00%"
