RACE,MALE ,FEMALE,TOTAL
White,3007,639,3646
Black,5306,449,5755
Hispanic,57,6,63
Other,36,5,41
Unknown Race,0,0,0
Unknown Gender,8,1,9
TOTAL,8414,1100,9514
