"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","2","0","0","5","0.97%"
"0","0","0","0","9","1.75%"
"0","0","1","0","9","1.75%"
"0","0","0","0","1","0.19%"
"29","6","0","0","378","73.40%"
"0","0","0","0","2","0.39%"
"1","1","0","0","28","5.44%"
"2","2","0","0","14","2.72%"
"0","0","0","0","4","0.78%"
"0","0","0","0","2","0.39%"
"1","0","0","0","5","0.97%"
"0","0","0","0","2","0.39%"
"0","0","0","0","16","3.11%"
"0","0","0","0","2","0.39%"
"3","0","0","0","23","4.47%"
"2","0","0","0","4","0.78%"
"2","0","0","0","11","2.14%"
"41","11","1","0","515","100.00%"
