"MALES","","","",""
"OTHER PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Burglary","0","1","0","0"
"Conspiracy To Commit A Crime","1","1","0","0"
"Disorderly Conduct/Creating Turmoil","1","0","0","0"
"DUI-Death","0","1","0","0"
"Grand Larceny","1","2","0","0"
"Simple Assault - Police Officer","1","0","0","0"
"Theft by Taking","0","1","0","0"
"TOTAL","4","6","0","0"
