"TYPE OF OFFENSE","","","",""
"OFFENSE","NUMBER OF 
AVERAGE SENTENCE 
AVERAGE AGE 
PERCENT 
OFFENSES 
LENGTH IN YEARS 
AT OFFENSE","","",""
"Burglary","35","34.31%","6.97","17.24"
"Homicide/Manslaughter","6","5.88%","33.33","16.15"
"Drug Possession","4","3.92%","13.00","17.47"
"Drug Sale","7","6.86%","8.43","17.46"
"Robbery","29","28.43%","6.72","16.19"
"Sex Offense","3","2.94%","8.00","15.98"
"Violent","8","7.84%","5.00","16.45"
"Property","10","9.80%","5.40","17.17"
