"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","0","0","0","5","62.50%"
"0","0","0","0","1","12.50%"
"0","0","0","0","1","12.50%"
"0","0","0","0","1","12.50%"
"1","0","0","0","8","100.00%"
