"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","0","40-49","75"
"15","0","50-59","25"
"16","1","60-69","5"
"17","2","70-79","6"
"18-19","25","80+","0"
"20-29","108","Verification Pending","0"
"30-39","88","TOTAL","335"
