"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","0","0","0","16","7.84%"
"3","1","0","0","65","31.86%"
"13","2","0","0","123","60.29%"
"17","3","0","0","204","100.00%"
