"RACE","","",""
"MALE 
FEMALE 
TOTAL","","",""
"White","173","29","202"
"Black","253","34","287"
"Hispanic","2","0","2"
"Other","2","0","2"
"Unknown Race","1","0","1"
"Unknown Gender","0","0","0"
"TOTAL 
431 
63 
494","","",""
