"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","1","40-49","1,752"
"15","12","50-59","421"
"16","18","60-69","56"
"17","70","70-79","14"
"18-19","578","80+","3"
"20-29","4,129","Verification Pending","1"
"30-39","2,459","TOTAL","9,514"
