"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","0","40-49","627"
"15","0","50-59","142"
"16","0","60-69","15"
"17","11","70-79","4"
"18-19","105","80+","0"
"20-29","1,639","Verification Pending","0"
"30-39","983","TOTAL","3,526"
