"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","0","0","0","63","2.24%"
"0","1","0","0","1","0.04%"
"0","1","0","0","54","1.92%"
"0","10","0","0","28","1.00%"
"0","0","0","0","4","0.14%"
"3","6","0","0","159","5.66%"
"0","0","0","0","1","0.04%"
"0","0","0","0","2","0.07%"
"54","15","0","0","194","6.90%"
"3","3","0","0","58","2.06%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","1","0","0","1","0.04%"
"0","1","0","0","1","0.04%"
"0","0","0","0","1","0.04%"
"0","0","0","0","3","0.11%"
"0","0","0","0","1","0.04%"
"45","71","0","0","340","12.10%"
"3","9","0","0","138","4.91%"
"0","0","0","0","1","0.04%"
"0","3","0","0","14","0.50%"
"6","9","0","0","41","1.46%"
"192","304","2","3","2,811","100.00%"
