"MALES","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER"
"POSSESSION OF DRUGS","1,118","898","32","7"
"SALE OF DRUGS","874","170","4","3"
"TOTAL","1,992","1,068","36","10"
