"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","0","0","0","2","0.09%"
"53","34","1","1","776","33.15%"
"0","1","0","0","4","0.17%"
"0","0","0","0","4","0.17%"
"0","1","0","0","11","0.47%"
"4","3","1","1","185","7.90%"
"0","1","0","0","6","0.26%"
"0","4","0","0","51","2.18%"
"0","45","0","0","232","9.91%"
"4","9","0","1","124","5.30%"
"4","2","0","0","73","3.12%"
"2","4","0","0","86","3.67%"
"0","15","0","0","98","4.19%"
"9","68","0","0","558","23.84%"
"0","17","0","0","125","5.34%"
"0","0","0","0","6","0.26%"
"77","204","2","3","2,341","100.00%"
