"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"4","0","0","0","31","32.29%"
"0","0","0","0","1","1.04%"
"1","0","0","0","6","6.25%"
"0","0","0","0","2","2.08%"
"0","2","0","0","10","10.42%"
"0","0","0","0","5","5.21%"
"0","0","0","0","3","3.13%"
"0","0","0","0","2","2.08%"
"0","2","0","0","6","6.25%"
"1","0","0","0","25","26.04%"
"0","0","0","0","5","5.21%"
"6","4","0","0","96","100.00%"
