"MALES","","","",""
"HOMICIDE/MANSLAUGHTER","BLACK","WHITE","HISPANIC","OTHER"
"Capital Murder","12","2","0","1"
"Homicide","47","14","0","0"
"Manslaughter","80","26","1","1"
"TOTAL","139","42","1","2"
