"MALES","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER"
"BURGLARY","926","551","1","5"
"HOMICIDE/MANSLAUGHTER","139","42","1","2"
"OTHER PROPERTY","1,271","1,010","13","16"
"POSSESSION OF DRUGS","1,118","898","32","7"
"ROBBERY","451","88","0","0"
"SALE OF DRUGS","874","170","4","3"
"SEX OFFENSES","179","145","4","2"
"VIOLENT","348","103","2","9"
"TOTAL","5,306","3,007","57","44"
