"COUNTY","OFFENDERS  PERCENT",""
"Pearl River","54","1.53%"
"Perry","17","0.48%"
"Pike","112","3.18%"
"Pontotoc","87","2.47%"
"Prentiss","29","0.82%"
"Quitman","8","0.23%"
"Rankin","147","4.17%"
"Scott","39","1.11%"
"Sharkey","8","0.23%"
"Simpson","8","0.23%"
"Smith","10","0.28%"
"Stone","29","0.82%"
"Sunflower","37","1.05%"
"Tallahatchie","21","0.60%"
"Tate","10","0.28%"
"Tippah","34","0.96%"
"Tishomingo","4","0.11%"
"Tunica","10","0.28%"
"Union","43","1.22%"
"Walthall","21","0.60%"
"Warren","53","1.50%"
"Washington","23","0.65%"
"Wayne","34","0.96%"
"Webster","11","0.31%"
"Wilkinson","1","0.03%"
"Winston","12","0.34%"
"Yalobusha","19","0.54%"
