"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1","5.56%"
"0","1","0","0","10","55.56%"
"0","0","0","0","7","38.89%"
"0","1","0","0","18","100.00%"
