"RACE","","",""
"MALE 
FEMALE 
TOTAL","","",""
"White","1,068","253","1,321"
"Black","1,992","161","2,153"
"Hispanic","36","3","39"
"Other","8","3","11"
"Unknown Race","2","0","2"
"Unknown Gender","0","0","0"
"TOTAL","3,106","420","3,526"
