"TYPE OF OFFENSE","","","",""
"OFFENSE","NUMBER OF 
AVERAGE SENTENCE 
AVERAGE AGE 
PERCENT 
OFFENSES 
LENGTH IN YEARS 
AT OFFENSE","","",""
"Burglary","32","6.48%","5.71","51.41"
"Homicide/Manslaughter","18","3.64%","39.17","59.00"
"Possession of Drugs","96","19.43%","4.42","53.72"
"Sale of Drugs","65","13.16%","6.22","53.78"
"Robbery","10","2.02%","10.33","49.50"
"Sex Offense","36","7.29%","9.47","57.56"
"Violent","26","5.26%","6.04","56.46"
"Unknown Property","211","42.71%","2.89","54.30"
