"MALES","","","",""
"ROBBERY","BLACK","WHITE","HISPANIC","OTHER"
"Armed Carjacking","8","1","0","0"
"Armed Robbery","235","23","0","0"
"Carjacking Strong Arm","4","1","0","0"
"Robbery","204","63","0","0"
"TOTAL","451","88","0","0"
