"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","9","1.62%"
"6","2","0","0","266","47.76%"
"0","0","0","0","5","0.90%"
"7","3","0","0","277","49.73%"
"13","5","0","0","557","100.00%"
