"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","2","6.25%"
"0","2","0","0","3","9.38%"
"0","1","0","0","12","37.50%"
"0","0","0","0","11","34.38%"
"0","0","0","0","4","12.50%"
"0","3","0","0","32","100.00%"
