"RACE","","",""
"MALE 
FEMALE 
TOTAL","","",""
"White","3,007","639","3,646"
"Black","5,306","449","5,755"
"Hispanic","57","6","63"
"Other","36","5","41"
"Unknown Race","0","0","0"
"Unknown Gender","8","1","9"
"TOTAL 
8,414 
1,100 
9,514","","",""
