"Violation","Jul-04","Aug-04","Sep-04","","Oct-04  Nov-04  Dec-04","","Jan-05"
"Escape - Return","7","13","10","7","7","15","12"
"Interstate Compact","0","0","1","0","0","0","0"
"ISP-Prison","0","0","0","0","0","1","0"
"New Prisoner","374","555","471","437","395","466","283"
"Non-Adjudicated Probation","0","0","0","0","2","0","0"
"Parole Revoked - Alleged","0","2","1","2","0","0","0"
"Parole Revoked - New","1","3","0","1","0","0","0"
"Parole Revoked - Technical","1","16","11","12","13","7","0"
"Parole Violation","0","0","0","0","0","0","1"
"Post Release Probation","1","0","1","0","0","1","0"
"Probation Revoked","221","290","264","232","213","252","104"
"Return-Abscond","2","0","0","0","0","0","0"
"Return - ERS","30","50","28","25","25","19","29"
"Return - House Arrest","50","44","51","20","26","34","37"
"Returned Parole","16","21","17","16","13","14","9"
"Sentenced to Probation","0","2","1","1","2","1","1"
"TOTAL","703","996","856","753","696","810","476"
