"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","11,328","37.08%"
"Property","14,537","47.58%"
"Aggravated Assualt","1,259","4.12%"
"Violent","2,213","7.24%"
"Sex","1,217","3.98%"
"TOTAL","30,554","100.00%"
