"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","9,106","38.12%"
"Non-Violent","9,943","41.62%"
"Sex","1,044","4.37%"
"Violent","3,795","15.89%"
"TOTAL","23,888","100.00%"
