"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","10,802","37.56%"
"Property","13,486","46.90%"
"Aggravated Assualt","1,158","4.03%"
"Violent","2,325","8.09%"
"Sex","985","3.43%"
"TOTAL","28,756","100.00%"
