"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","8,882","38.34%"
"Non-Violent","9,666","41.72%"
"Sex","986","4.26%"
"Violent","3,632","15.68%"
"TOTAL","23,166","100.00%"
