"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","10,854","37.70%"
"Property","13,964","48.50%"
"Violent","2,863","9.94%"
"Sex","1,110","3.86%"
"TOTAL","28,791","100.00%"
