"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","11,649","35.88%"
"Property","14,071","43.34%"
"Aggravated Assualt","1,360","4.19%"
"Violent","4,042","12.45%"
"Sex","1,342","4.13%"
"TOTAL","32,464","100.00%"
