"OFFENSE","OFFENDERS","OFFENDERS"
"Drug","10,959","37.25%"
"Property","14,012","47.63%"
"Aggravated Assualt","1,221","4.15%"
"Violent","2,094","7.12%"
"Sex","1,135","3.86%"
"TOTAL","29,421","100.00%"
