"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","8,896","38.42%"
"Non-Violent","9,636","41.61%"
"Sex","997","4.31%"
"Violent","3,628","15.67%"
"TOTAL","23,157","100.00%"
