"FEMALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Burglary","51","117","0","3","171"
"Homicide/Manslaughter","120","72","0","0","192"
"Possession of Drugs","173","341","8","3","525"
"Sales of Drugs","313","128","2","1","444"
"Robbery","75","33","0","0","108"
"Sex Offense","7","18","0","0","25"
"Violent","83","35","1","0","119"
"Property","371","443","1","5","820"
"TOTAL","1,193","1,187","12","12","2,404"
