"MALE","BLACK","","WHITE   HISPANIC  OTHER","","UNKNOWN","TOTAL"
"MOA","2,004","1,106","12","8","2","3,132"
"MORA","2,655","1,433","23","14","1","4,126"
"MOB","3,892","1,894","53","14","2","5,855"
"MORB","3,220","982","22","14","1","4,239"
"C","1,939","391","8","1","0","2,339"
"D","619","79","2","1","0","701"
"DR","33","29","0","1","0","63"
"*Unclassified","1,161","832","28","4","13","2,038"
"TOTAL","15,523","6,746","148","57","19","22,493"
"%","69.01","29.99",".66",".25",".08","100.00"
