"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,762","","66.54%","","","","718","","","42.79%","","","","13,480","","","","64.63%"
"White
6,150","","32.06%","","","","940","","","56.02%","","","","7,090","","","","33.99%"
"Hispanic
187","",".97%","","","","13","","",".77%","","","","200","","","",".96%"
"Native American
31","",".16%","","","","","","",".30%","","","","36","","","",".17%"
"Asian
43","",".22%","","","","","","",".12%","","","","45","","","",".22%"
"Data Unavailable
7","",".04%","","","","0","","",".00%","","","","7","","","",".03%"
"TOTAL
19,180","","100.00%","","","","1,678","","","100.00%","","","","20,858","","","","100.00%"
