"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,806","","66.67%","","","","725","","","42.65%","","","","13,531","","","","64.72%"
"White
6,138","","31.96%","","","","954","","","56.12%","","","","7,092","","","","33.92%"
"Hispanic
181","",".94%","","","","14","","",".82%","","","","195","","","",".93%"
"Native American
27","",".14%","","","","","","",".29%","","","","32","","","",".15%"
"Asian
48","",".25%","","","","","","",".12%","","","","50","","","",".24%"
"Data Unavailable
8","",".04%","","","","0","","",".00%","","","","8","","","",".04%"
"TOTAL
19,208","","100.00%","","","","1,700","","","100.00%","","","","20,908","","","","100.00%"
