"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
13,908","","67.50%","","","","718","","","42.87%","","","","14,626","","","","65.65%"
"White
6,468","","31.39%","","","","945","","","56.42%","","","","7,413","","","","33.27%"
"Hispanic
164","",".80%","","","","7","","",".42%","","","","171","","","",".77%"
"Native American
20","",".10%","","","","","","",".24%","","","","24","","","",".11%"
"Asian
40","",".19%","","","","4 0","","",".00%","","","","40","","","",".18%"
"Data Unavailable
5","",".02%","","","","1","","",".06%","","","","6","","","",".03%"
"TOTAL
20,605","","100.00%","","","","1,675","","","100.00%","","","","22,280","","","","100.00%"
