"At Large (Escapees & Walk-Aways)","","","0","24","0.11%","","",""
"TOTAL","","","24,225","21,066","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","",""
"","","% OF","","% OF","","","% OF",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","","TOTAL",""
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","","OFFENDERS",""
"Black","12,451","64.06%","582","35.77%","13,033","","61.87%",""
"White","6,711","34.53%","1,025","63.00%","7,736","","36.72%",""
"Hispanic","193",".99%","12",".74%","205","",".97%",""
"Native American","27",".14%","5",".31%","32","",".15%",""
"Asian","47",".24%","3",".18%","50","",".24%",""
"Data Unavailable","7",".04%","0",".00%","7","",".03%",""
"TOTAL","19,436","100.00%","1,627","100.00%","21,066","","99.99%",""
"","Black","","White","Hispanic","Native American","Asian","","Data Unavailable TOTAL"
"LOCATION","Male","Female
Male","Female","Male
Female","Male
Female","Male","Female
Male","Female"
