"RACE","MALE","","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","12,198","","64.47%","","","","638","","","37.60%","","","","12,836","","","","62.26%"
"White","6,457","","34.13%","","","","1,034","","","60.93%","","","","7,491","","","","36.33%"
"Hispanic","186","",".98%","","","","17","","","1.00%","","","","203","","","",".98%"
"Native American","26","",".14%","","","","3","","",".18%","","","","29","","","",".14%"
"Asian","45","",".24%","","","","3","","",".18%","","","","48","","","",".23%"
"Data Unavailable","8","",".04%","","","","2","","",".12%","","","","10","","","",".05%"
"TOTAL","18,920","","100.00%","","","","1,697","","","100.00%","","","","20,617","","","","100.00%"
