"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","15,643","","68.62%","","","1,200","","49.42%","","","16,843","","","66.78%","","",""
"White","6,870","","30.14%","","","1,201","","49.46%","","","8,071","","","32.00%","","",""
"Hispanic","200","","0.88%","","","5","","0.62%","","","215","","0.85%","","","",""
"Native American","22","","0.10%","","","51","","0.21%","","","27","","0.11%","","","",""
"Asian","39","","0.17%","","","","","0.21%","","","44","","0.17%","","","",""
"Data Unavailable","21","","0.09%","","","5 2","","0.08%","","","23","","0.09%","","","",""
"TOTAL","22,795","","100.00%","","","2,428","","100.00%","","","25,223","","","100.00%","","",""
