"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,774","","67.50%","","","","734","","","42.62%","","","","13,508","","","","65.42%"
"White
5,886","","31.10%","","","","960","","","55.75%","","","","6,846","","","","33.16%"
"Hispanic
195","","1.03%","","","","18","","","1.05%","","","","213","","","","1.03%"
"Native American
27","",".14%","","","","","","",".35%","","","","33","","","",".16%"
"Asian
37","",".20%","","","","","","",".17%","","","","40","","","",".19%"
"Data Unavailable
6","",".03%","","","","1","","",".06%","","","","7","","","",".03%"
"TOTAL
18,925","","100.00%","","","","1,722","","","100.00%","","","","20,647","","","","100.00%"
