"RACE","MALE","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","12,226","64.65%","","","","625","","","35.88%","","","","12,851","","","","62.23%"
"White","6,448","34.10%","","","","1,080","","","62.00%","","","","7,528","","","","36.45%"
"Hispanic","167",".88%","","","","19","","","1.09%","","","","186","","","",".90%"
"Native American","23",".12%","","","","11","","",".63%","","","","34","","","",".16%"
"Asian","38",".20%","","","","5","","",".29%","","","","43","","","",".21%"
"Data Unavailable","8",".04%","","","","2","","",".11%","","","","10","","","",".05%"
"TOTAL","18,910","100.00%","","","","1,742","","","100.00%","","","","20,652","","","","100.00%"
